period,continent,country,source_continent,source_country,product_type,product_name,quantity,company,company_country
01.01.2007,europe,belgium,asia,china,mineral,cobalt,532.8455156,byd_group,china
01.01.2007,europe,belgium,africa,drc,mineral,nickel,376.6506533,areva,france
01.01.2007,europe,belgium,america,usa,mineral,silicon,764.002604,newmont_goldcorp,usa
01.01.2007,europe,belgium,asia,russia,mineral,nickel,175.4031577,newmont_goldcorp,usa
01.01.2007,europe,belgium,america,chile,mineral,lithium,11760.57416,byd_group,china
01.01.2007,europe,italy,africa,drc,mineral,cobalt,214.2041267,areva,france
01.01.2007,europe,belgium,asia,china,manufactured,lithium_battery,58.0276856,byd_group,china
01.01.2007,europe,germany,asia,china,manufactured,lithium_battery,23.13988351,byd_group,china
01.01.2007,america,usa,asia,china,manufactured,lithium_battery,251.5065478,byd_group,china
01.01.2007,europe,france,america,chile,mineral,lithium,3093.541636,chile_nat_group,chile
01.01.2007,europe,poland,america,chile,mineral,lithium,502.9996932,chile_nat_group,chile
01.01.2007,asia,china,america,chile,mineral,lithium,68.93028594,chile_nat_group,chile
01.01.2007,europe,france,asia,china,mineral,nickel,4313.355885,byd_group,china
01.01.2007,europe,france,europe,france,manufactured,lithium_battery,53.34413953,french_mining_group,france
01.01.2007,europe,france,asia,russia,mineral,cobalt,445.070919,french_mining_group,france
01.01.2007,europe,france,america,brasil,mineral,cobalt,34.00529395,french_mining_group,france
01.01.2007,europe,belgium,europe,germany,manufactured,lithium_battery,209.7376812,german_mining_network,germany
01.01.2007,europe,france,europe,germany,manufactured,lithium_battery,102.7071144,german_mining_network,germany
01.01.2007,europe,germany,africa,drc,mineral,cobalt,194.8239543,german_mining_network,germany
01.01.2007,america,usa,europe,germany,manufactured,nickel_battery,234.4379528,german_mining_network,germany
01.01.2007,europe,germany,africa,south_africa,mineral,manganese,317.0042867,glencore,uk
01.01.2007,europe,germany,asia,china,mineral,cobalt,238.9619012,byd_group,china
01.01.2007,europe,switzerland,africa,south_africa,mineral,manganese,135.9644577,glencore,uk
01.01.2007,europe,uk,africa,drc,mineral,nickel,2367.898487,glencore,uk
01.01.2007,europe,uk,africa,south_africa,mineral,manganese,601.4675306,glencore,uk
01.01.2007,europe,germany,america,chile,mineral,lithium,2555.063174,byd_group,china
01.01.2007,asia,china,africa,south_africa,mineral,manganese,644.2648092,glencore,uk
01.01.2007,europe,france,america,usa,mineral,silicon,90.02823025,newmont_goldcorp,usa
01.01.2007,europe,italy,asia,china,mineral,cobalt,425.7942901,taiyuan_mining_group,china
01.01.2007,europe,germany,america,usa,mineral,silicon,264.4387766,newmont_goldcorp,usa
01.01.2007,europe,germany,america,brasil,mineral,lithium,3541.079519,newmont_goldcorp,usa
01.01.2007,europe,poland,america,usa,mineral,silicon,108.0998006,newmont_goldcorp,usa
01.01.2007,europe,italy,america,chile,mineral,lithium,9083.400697,byd_group,china
01.01.2007,europe,spain,america,usa,mineral,cobalt,173.7397857,newmont_goldcorp,usa
01.01.2007,asia,china,america,usa,mineral,silicon,5.00745009,newmont_goldcorp,usa
01.01.2007,europe,poland,asia,china,mineral,graphite,1091.128464,byd_group,china
01.01.2007,europe,poland,africa,drc,mineral,cobalt,390.7813988,taiyuan_mining_group,china
01.01.2007,europe,belgium,europe,france,manufactured,lithium_battery,25.1342531,sibelco,belgium
01.01.2007,europe,belgium,america,brasil,mineral,cobalt,131.2295302,sibelco,belgium
01.01.2007,europe,belgium,africa,zimbabwe,mineral,lithium,14565.63473,south_africa_min_group,south_africa
01.01.2007,europe,france,africa,drc,mineral,graphite,679.4081418,south_africa_min_group,south_africa
01.01.2007,europe,france,africa,south_africa,mineral,manganese,6.860897498,south_africa_min_group,south_africa
01.01.2007,europe,spain,asia,china,mineral,graphite,660.1409262,byd_group,china
01.01.2007,europe,italy,africa,south_africa,mineral,silicon,41.23656627,south_africa_min_group,south_africa
01.01.2007,europe,italy,africa,south_africa,mineral,manganese,7.829315944,south_africa_min_group,south_africa
01.01.2007,europe,poland,africa,south_africa,mineral,manganese,317.6847888,south_africa_min_group,south_africa
01.01.2007,europe,spain,america,chile,mineral,lithium,4419.676551,byd_group,china
01.01.2007,europe,switzerland,africa,drc,mineral,graphite,891.3249665,swiss_group,switzerland
01.01.2007,europe,switzerland,america,usa,mineral,cobalt,402.6549995,swiss_group,switzerland
01.01.2007,europe,switzerland,asia,china,mineral,graphite,186.9538556,taiyuan_mining_group,china
01.01.2007,europe,switzerland,america,chile,mineral,lithium,5766.749603,swiss_group,switzerland
01.01.2007,europe,switzerland,america,brasil,mineral,silicon,77.99358421,swiss_group,switzerland
01.01.2007,europe,spain,africa,zimbabwe,mineral,lithium,270.0240449,zimbabwe_group,zimbabwe
01.01.2007,europe,germany,asia,russia,mineral,cobalt,2.84869352,russia_mining_network,russia
