"PERIOD","Target","Source","PRODUCT","FLOW","STAT_REGIME","INDICATORS","Value","Flag and Footnotes"
"1999-01-01","Frankreich","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","85283.6",""
"1999-01-01","Frankreich","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","571518.0",""
"1999-01-01","Frankreich","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","1097.6",""
"1999-01-01","Frankreich","China","Total","EINFUHR","NORMAL","QUANTITY_TON","215872.7",""
"1999-01-01","Frankreich","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","59.5",""
"1999-01-01","Frankreich","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","1022.4",""
"1999-01-01","Frankreich","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","1241921.3",""
"1999-01-01","Frankreich","Brasilien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","111.4",""
"1999-01-01","Frankreich","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","30893.3",""
"1999-01-01","Frankreich","Chile","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.1",""
"1999-01-01","Frankreich","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","123536.3",""
"1999-01-01","Frankreich","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","614217.2",""
"1999-01-01","Niederlande","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","41455.5",""
"1999-01-01","Niederlande","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","1103649.0",""
"1999-01-01","Niederlande","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","14.8",""
"1999-01-01","Niederlande","China","Total","EINFUHR","NORMAL","QUANTITY_TON","195899.0",""
"1999-01-01","Niederlande","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","1.9",""
"1999-01-01","Niederlande","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","14.5",""
"1999-01-01","Niederlande","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","14.5",""
"1999-01-01","Niederlande","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","4439.0",""
"1999-01-01","Niederlande","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","887265.3",""
"1999-01-01","Niederlande","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","62411.4",""
"1999-01-01","Niederlande","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","161125.7",""
"1999-01-01","Niederlande","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","656321.1",""
"1999-01-01","Niederlande","Australien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Deutschland","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","98448.5",""
"1999-01-01","Deutschland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","596121.9",""
"1999-01-01","Deutschland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","6354.7",""
"1999-01-01","Deutschland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","26.4",""
"1999-01-01","Deutschland","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","26.4",""
"1999-01-01","Deutschland","China","Total","EINFUHR","NORMAL","QUANTITY_TON","245630.0",""
"1999-01-01","Deutschland","China","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","814.1",""
"1999-01-01","Deutschland","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","8.1",""
"1999-01-01","Deutschland","China","Lithiumoxid und Lithiumhydroxid","EINFUHR","NORMAL","QUANTITY_TON","8.1",""
"1999-01-01","Deutschland","Simbabwe","Total","EINFUHR","NORMAL","QUANTITY_TON","4779.7",""
"1999-01-01","Deutschland","Brasilien","Total","EINFUHR","NORMAL","QUANTITY_TON","929936.0",""
"1999-01-01","Deutschland","Brasilien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","9.7",""
"1999-01-01","Deutschland","Chile","Total","EINFUHR","NORMAL","QUANTITY_TON","153602.6",""
"1999-01-01","Deutschland","Argentinien","Total","EINFUHR","NORMAL","QUANTITY_TON","96801.9",""
"1999-01-01","Deutschland","Argentinien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","12.5",""
"1999-01-01","Deutschland","Australien","Total","EINFUHR","NORMAL","QUANTITY_TON","431206.7",""
"1999-01-01","Deutschland","Australien","Total","EINFUHR","PASSIVE VEREDELUNG","QUANTITY_TON","0.0",""
"1999-01-01","Italien","Portugal","Total","EINFUHR","NORMAL","QUANTITY_TON","38773.9",""
"1999-01-01","Italien","Vereinigte Staaten(1995-2500);Vereinigte Staaten(1976-1994)","Total","EINFUHR","NORMAL","QUANTITY_TON","872651.2",""
